"Subject" "Activity" "Variable" "Average"
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_X" 0.265696920582133
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Y" -0.0182981725176081
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_MEAN_Z" -0.10784573454611
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_X" -0.545795331328326
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Y" -0.367716218227378
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_STDDEV_Z" -0.502645746562824
1 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_X" 0.744867411573487
1 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Y" -0.0825562579855908
1 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_MEAN_Z" 0.072339870389049
1 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_X" -0.9598594359366
1 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Y" -0.951150627458213
1 "WALKING" "TIME_DOMAIN_GravityACCELEROMETER_STDDEV_Z" -0.925817590867435
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_X" 0.0770930495126801
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Y" 0.0165908438802305
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_MEAN_Z" -0.00910758730117003
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_X" -0.524721922818732
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Y" -0.470412403511239
1 "WALKING" "TIME_DOMAIN_BODY_ACCELEROMETER_JERK_STDDEV_Z" -0.717322274881844
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_X" -0.0208764064320173
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Y" -0.0880722729400576
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_MEAN_Z" 0.0862641666597983
1 "WALKING" "TIME_DOMAIN_BODY_GYROSCOPE_STDDEV_X" -0.686555715201729
